product_name,alcohol_percentage
porcupine-ridge-merlot,14.5
riporta-primitivo-di-manduria,14.5
marques-de-vitoria-rioja-crianza,14.5
coebergh-red-fruit,14.5
ah-fine-red,14.5
cadis-amarone-d-valpolicella,14.5
chateau-la-marzenac-la-marzenac,14.5
e-guigal-guigal-condrieu,14.5
e-guigal-chateauneuf-du-pape-rouge,14.5
marques-de-vitoria-rioja-tempranillo,14.5
symington-altano-organically-farmed-red,14.5
zuccardi-apelacion-cabernet-sauvignon,14.5
gabriel-meffre-vacqueyras-saint-barthelemy,14.5
penfolds-bin-8-cabernet-shiraz,14.5
bruce-jack-pinotage-malbec,14.5
artefacto-vinho-tinto-red-wine,14.5
tamboerskloof-syrah,14.5
penfolds-bin-28-shiraz,14.5
cono-sur-reserva-especial-carmnre,14.5
e-guigal-gigondas,14.5
garzon-reserva-tannat,14.5
coyam-red-organic-wine,14.5
novas-gran-reserva-emiliana,14.6
martini-fiero,14.9
martini-rosso,15.0
sandeman-sherry-fino,15.0
ah-excellent-selectie-barossa-shiraz,15.0
martini-bianco,15.0
jerez-sherry-fino,15.0
jerez-sherry-medium,15.0
domecq-sherry-manzanilla,15.0
domecq-sherry-medium-dry,15.0
domecq-sherry-fino,15.0
domaine-grand-tinel-chteauneuf-du-pape,15.5
martini-extra-dry,18.0
warre-king-s-tawny-port,19.0
dow-s-fine-tawny-port,19.0
conqueror-ruby-port,19.0
sobreiro-white-port,19.0
warre-warrior-reserve-port,19.0
sobreiro-ruby-port,19.0
dow-s-fine-ruby-port,19.0
dow-s-fine-white-port,19.0
conqueror-port-white,19.0
barros-ruby-port,19.0
gassiot-ruby-port,19.0
warre-heritage-ruby-port,19.0
conqueror-tawny-port,19.0
ah-excellent-martinez-tawny-port,19.0
barros-tawny-port,19.0
kopke-fine-ruby-porto,19.5
kopke-fine-white-porto,19.5
kopke-reserve-ruby-porto,19.5
kopke-fine-tawny-porto,19.5
graham-s-late-bottled-vintage-port,20.0
kopke-lbv-porto,20.0
graham-s-tawny-port-10-years,20.0
